hip,ra_deg,dec_deg,mag,name,desig
9061,29.1675,-22.5268,4.92,,56 Cet
9095,29.292,-47.3853,4.82,,
9110,29.3377,17.8175,5.09,,ι Ari
9132,29.4323,27.8044,5.84,,
9153,29.4822,23.5961,4.79,,λ Ari
9222,29.6396,49.2044,5.7,,3 Per
9236,29.6925,-61.5699,2.86,,α Hyi
9307,29.8987,21.0586,5.89,,
9312,29.9085,64.6216,5.29,,
9313,29.9117,-42.0305,5.57,,
9326,29.9425,-20.8245,5.43,,57 Cet
9347,30.0013,-21.0778,3.99,,υ Cet
9353,30.0382,3.097,5.89,,112 Psc
9372,30.1118,-8.5239,5.43,,AR Cet
9440,30.3113,-30.0018,5.34,,π For
9459,30.4266,-44.7135,5.15,,χ Phe
9480,30.4894,70.907,4.49,,A Cas
9487,30.5118,2.7638,3.82,Alrescha,α Psc
9505,30.5755,54.4875,4.99,,g Per
9533,30.6462,13.4767,5.97,,
9564,30.7187,64.9015,6,,52 Cas
9570,30.7415,33.2841,5.5,,ε Tri
9572,30.744,-15.3059,5.87,,
9573,30.7508,64.39,5.59,,53 Cas
9589,30.7985,0.1285,5.42,,60 Cet
9598,30.8588,72.4213,3.95,,50 Cas
9621,30.9139,25.9355,5.64,,10 Ari
9622,30.9187,-4.1035,5.61,,
9631,30.9507,-0.3403,5.96,,61 Cet
9640,30.9748,42.3297,2.1,Almach,γ1 And
9677,31.1227,-29.2968,4.68,,ν For
9727,31.2809,77.2813,5.27,,47 Cas
9763,31.3815,76.1151,5.22,,49 Cas
9836,31.6414,22.6483,5.03,,κ Ari
9884,31.7934,23.4624,2.01,Hamal,α Ari
9977,32.1219,37.8591,4.78,,58 And
9990,32.1691,58.4236,5.66,,V0472 Per
10035,32.2887,-43.5166,5.84,,
10053,32.3556,25.9399,4.98,,14 Ari
10064,32.3859,34.9873,3,Mizan,β Tri
10155,32.6567,19.5003,5.68,,15 Ari
10212,32.8378,8.5698,5.64,,64 Cet
10215,32.8426,-10.0522,6,,
10234,32.8993,-1.8254,5.94,,63 Cet
10280,33.0928,30.3031,4.94,,6 Tri
10296,33.1564,24.1678,5.96,,
10305,33.1981,-2.3936,5.65,,66 Cet
10306,33.2004,21.211,5.23,,η Ari
10320,33.227,-30.7238,5.27,,μ For
10324,33.25,8.8467,4.36,Al Kaff al Jidhmah,ξ1 Cet
10326,33.2541,-21.0001,5.86,,
10328,33.2638,15.2799,5.72,,19 Ari
10340,33.3055,44.2317,4.84,,b And
10366,33.4014,51.0658,5.31,,6 Per
10418,33.5606,-67.8414,5.57,,π1 Hyi
10440,33.6331,-41.1668,5.91,,
10513,33.8693,-67.7464,5.67,,π2 Hyi
10535,33.9282,25.043,5.57,,21 Ari
10540,33.9419,25.7829,5.79,,20 Ari
10559,33.9845,33.3589,5.25,,7 Tri
10602,34.1274,-51.5122,3.56,,φ Eri
10642,34.246,-6.4221,5.51,,67 Cet
10644,34.2635,34.2242,4.84,,δ Tri
10670,34.3286,33.8472,4.03,,γ Tri
10718,34.4995,57.8998,5.75,,8 Per
10723,34.506,1.7578,5.6,,
10729,34.5191,57.5163,5.99,Misam al Thurayya,χ Per
10732,34.5314,19.9012,5.58,,θ Ari
10793,34.7375,28.6427,5.29,,10 Tri
10819,34.82,47.38,5.31,,c And
10871,34.9761,-55.9448,5.81,,
10944,35.2425,50.1515,5.57,,63 And
11001,35.4373,-68.6594,4.08,,δ Hyi
11021,35.4859,0.3957,5.29,,69 Cet
11029,35.5064,-10.7775,5.43,,
11033,35.5208,-17.6622,5.89,,
11046,35.5517,-0.8849,5.42,,70 Cet
11060,35.5893,55.8457,5.16,,i Per
11072,35.6356,-23.8163,5.19,,κ For
11090,35.7096,41.3963,5.81,,
11095,35.7179,-73.6458,5.99,,κ Hyi
11102,35.7278,-51.0921,5.9,,
11220,36.1038,50.0065,5.19,,64 And
11249,36.2044,10.6106,5.48,,ξ Ari
11258,36.2246,-60.3119,5.36,,λ Hor
11313,36.4059,50.2786,4.73,,65 And
11345,36.4875,-12.2905,4.88,Sadr al Kaitos,ρ Cet
11348,36.5015,-15.3412,5.88,,AB Cet
11381,36.6467,-20.0426,5.89,,
11407,36.7463,-47.7038,4.24,,κ Eri
11432,36.8657,31.8013,5.55,,11 Tri
11477,37.0071,-33.811,5.13,,φ For
11484,37.0398,8.4601,4.3,,ξ2 Cet
11486,37.0416,29.6693,5.29,,12 Tri
11548,37.2021,29.9318,5.89,,13 Tri
11569,37.2664,67.4025,4.46,,ι Cas
11670,37.6348,25.235,5.88,,
11687,37.6883,0.2557,6,,
11738,37.8754,2.2672,5.27,,
11757,37.9189,-79.1094,5.27,,μ Hyi
11767,37.9545,89.2641,1.97,Polaris,α UMi
11783,38.0218,-15.2447,4.74,,σ Cet
11784,38.0257,36.1473,5.15,,14 Tri
11791,38.0393,-1.0349,5.36,,75 Cet
11840,38.2192,34.5424,5.84,,
11843,38.2256,15.0346,6,,29 Ari
11867,38.2793,-34.65,5.91,,λ1 For
11918,38.4613,-28.2323,4.96,,ω For
12002,38.6776,-7.8594,5.74,,77 Cet
12072,38.9114,37.3123,5.72,,
12086,38.945,34.6876,5.38,,15 Tri
12093,38.9686,5.5932,4.87,,ν Cet
12107,39.0002,-7.8316,5.53,,80 Cet
12114,39.0204,6.8869,5.79,,
12122,39.0386,-30.045,5.74,,ι1 For
12148,39.1461,7.73,5.81,,
12153,39.158,12.4476,5.64,,31 Ari
12181,39.2383,38.7336,5.91,,
12186,39.2442,-34.578,5.78,,λ2 For
12225,39.3515,-52.5431,5.3,,η Hor
12239,39.4003,65.7453,5.8,,
12247,39.4242,-3.3962,5.65,,81 Cet
12273,39.5085,72.8183,5.17,,
12288,39.5778,-30.1941,5.84,,ι2 For
12332,39.7041,21.9614,5.45,,ν Ari
12387,39.8707,0.3285,4.08,,δ Cet
12390,39.891,-11.8722,4.83,,ε Cet
12394,39.8973,-68.2669,4.12,,ε Hyi
12413,39.95,-42.8917,4.74,,s Eri
12444,40.0518,-9.4529,5.79,,
12484,40.1651,-54.5499,5.21,,ζ Hor
12486,40.1668,-39.8554,4.11,,ι Eri
12489,40.1711,27.0609,5.3,Barani,33 Ari
12530,40.3083,-0.6957,5.72,,84 Cet
12562,40.3922,-14.5493,5.98,,
12608,40.5275,-38.3837,5.99,,
12623,40.5621,40.1939,4.91,,12 Per
12640,40.5914,20.0115,5.74,Koleon,μ Ari
12653,40.6394,-50.8003,5.4,,ι Hor
